text,label
Drinking ten cups of coffee daily ensures immortality.,FAKE
Aliens officially signed a peace treaty with world leaders.,FAKE
Researchers at a leading university made progress in cancer treatment studies.,REAL
Researchers prove chocolate-only diets guarantee perfect health.,FAKE
Researchers at a leading university made progress in cancer treatment studies.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
Medical experts emphasized the importance of regular exercise and balanced nutrition.,REAL
The Reserve Bank reported stable economic growth for the current quarter.,REAL
NASA successfully launched a satellite to monitor climate change.,REAL
The World Health Organization released updated public health guidelines.,REAL
NASA successfully launched a satellite to monitor climate change.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
Drinking ten cups of coffee daily ensures immortality.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
NASA successfully launched a satellite to monitor climate change.,REAL
Invisible cloaking technology released for public use.,FAKE
The government announced a new policy to improve higher education standards.,REAL
Drinking ten cups of coffee daily ensures immortality.,FAKE
Invisible cloaking technology released for public use.,FAKE
Researchers at a leading university made progress in cancer treatment studies.,REAL
Environmental agencies highlighted strategies to protect biodiversity.,REAL
Medical experts emphasized the importance of regular exercise and balanced nutrition.,REAL
Researchers prove chocolate-only diets guarantee perfect health.,FAKE
A secret device allows instant teleportation between cities.,FAKE
The World Health Organization released updated public health guidelines.,REAL
Researchers at a leading university made progress in cancer treatment studies.,REAL
Scientists confirm humans can live without sleep for an entire month.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
A hidden civilization discovered beneath the ocean.,FAKE
Researchers prove chocolate-only diets guarantee perfect health.,FAKE
Scientists confirm humans can live without sleep for an entire month.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
Invisible cloaking technology released for public use.,FAKE
Aliens officially signed a peace treaty with world leaders.,FAKE
A new transportation project was approved to improve urban connectivity.,REAL
Scientists reveal humans can breathe underwater naturally.,FAKE
A hidden civilization discovered beneath the ocean.,FAKE
NASA successfully launched a satellite to monitor climate change.,REAL
Scientists confirm humans can live without sleep for an entire month.,FAKE
The government announced a new policy to improve higher education standards.,REAL
Drinking ten cups of coffee daily ensures immortality.,FAKE
Scientists reveal humans can breathe underwater naturally.,FAKE
Time travel technology will be available to students next year.,FAKE
A hidden civilization discovered beneath the ocean.,FAKE
Scientists confirm humans can live without sleep for an entire month.,FAKE
Drinking ten cups of coffee daily ensures immortality.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
Scientists confirm humans can live without sleep for an entire month.,FAKE
A new transportation project was approved to improve urban connectivity.,REAL
Scientists confirm humans can live without sleep for an entire month.,FAKE
Researchers prove chocolate-only diets guarantee perfect health.,FAKE
Researchers at a leading university made progress in cancer treatment studies.,REAL
Medical experts emphasized the importance of regular exercise and balanced nutrition.,REAL
Medical experts emphasized the importance of regular exercise and balanced nutrition.,REAL
The Reserve Bank reported stable economic growth for the current quarter.,REAL
Medical experts emphasized the importance of regular exercise and balanced nutrition.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
Drinking ten cups of coffee daily ensures immortality.,FAKE
The government announced a new policy to improve higher education standards.,REAL
A hidden civilization discovered beneath the ocean.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
A new transportation project was approved to improve urban connectivity.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
The government announced a new policy to improve higher education standards.,REAL
The Reserve Bank reported stable economic growth for the current quarter.,REAL
A secret device allows instant teleportation between cities.,FAKE
Aliens officially signed a peace treaty with world leaders.,FAKE
Time travel technology will be available to students next year.,FAKE
Invisible cloaking technology released for public use.,FAKE
A technology company introduced innovations in artificial intelligence systems.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
The Reserve Bank reported stable economic growth for the current quarter.,REAL
Time travel technology will be available to students next year.,FAKE
A hidden civilization discovered beneath the ocean.,FAKE
Scientists developed a new renewable energy solution to reduce carbon emissions.,REAL
A new transportation project was approved to improve urban connectivity.,REAL
Invisible cloaking technology released for public use.,FAKE
A hidden civilization discovered beneath the ocean.,FAKE
A new transportation project was approved to improve urban connectivity.,REAL
Time travel technology will be available to students next year.,FAKE
Time travel technology will be available to students next year.,FAKE
Aliens officially signed a peace treaty with world leaders.,FAKE
NASA successfully launched a satellite to monitor climate change.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
Researchers at a leading university made progress in cancer treatment studies.,REAL
A machine predicts exam questions with 100 percent accuracy.,FAKE
Time travel technology will be available to students next year.,FAKE
Researchers prove chocolate-only diets guarantee perfect health.,FAKE
Environmental agencies highlighted strategies to protect biodiversity.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
A technology company introduced innovations in artificial intelligence systems.,REAL
Researchers at a leading university made progress in cancer treatment studies.,REAL
Scientists developed a new renewable energy solution to reduce carbon emissions.,REAL
A hidden civilization discovered beneath the ocean.,FAKE
Scientists developed a new renewable energy solution to reduce carbon emissions.,REAL
The Reserve Bank reported stable economic growth for the current quarter.,REAL
Scientists confirm humans can live without sleep for an entire month.,FAKE
